nv,time,instrument_id,platform_id,lat_bnds,lon_bnds,precip_stdv,quality_flag,precip,num_obs,num_covered_hours,time_bnds,platform_name,instrument_name,lon,lat,source_file
1,2017-09-13,0,11,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f16,all,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,0,12,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f17,all,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,0,13,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f18,all,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,4,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,noaa18,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,5,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,noaa19,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,6,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,metopa,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,7,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,metopb,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,11,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f16,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,12,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f17,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
1,2017-09-13,3,13,31,79,0.5070350915193558,0.6169410869479179,0.15184383210726082,278.0,8.0,2017-09-13 23:59:59,f18,MHS,78.5,30.5,COBRA_2017-09-13_1DD_v1.0.nc
