epoch,accuracy,loss,val_accuracy,val_loss
0,0.9991793036460876,0.24904800951480865,0.998674213886261,0.015655990689992905
1,0.9991793036460876,0.24901996552944183,0.998674213886261,0.015651287510991096
2,0.9991793036460876,0.248991459608078,0.998674213886261,0.015646470710635185
3,0.9991793036460876,0.24896268546581268,0.998674213886261,0.015641383826732635
4,0.9991793036460876,0.2489331215620041,0.998674213886261,0.015636462718248367
5,0.9991793036460876,0.24890495836734772,0.998674213886261,0.0156319011002779
6,0.9991793036460876,0.24887476861476898,0.998674213886261,0.01562708429992199
7,0.9991793036460876,0.24884571135044098,0.998674213886261,0.015622330829501152
8,0.9991793036460876,0.24881593883037567,0.998674213886261,0.015617168508470058
9,0.9991793036460876,0.2487865388393402,0.998674213886261,0.015612903982400894
10,0.9991793036460876,0.248758003115654,0.998674213886261,0.015608087182044983
11,0.9991793036460876,0.24872861802577972,0.998674213886261,0.015603562816977501
12,0.9991793036460876,0.24869923293590546,0.998674213886261,0.015598495490849018
13,0.9991793036460876,0.24867074191570282,0.998674213886261,0.015594016760587692
14,0.9991793036460876,0.24864055216312408,0.998674213886261,0.015589237213134766
15,0.9991793036460876,0.248613178730011,0.998674213886261,0.015584505163133144
16,0.9991793036460876,0.24858170747756958,0.998674213886261,0.015579693019390106
17,0.9991793036460876,0.24855317175388336,0.998674213886261,0.01557526458054781
18,0.9991793036460876,0.2485237866640091,0.998674213886261,0.015570689924061298
19,0.9991793036460876,0.24849474430084229,0.998674213886261,0.015565457753837109
