epoch,accuracy,loss,val_accuracy,val_loss
0,0.9855113625526428,0.1365743726491928,0.998674213886261,0.017126353457570076
1,0.9991793036460876,0.07372207939624786,0.998674213886261,0.013246766291558743
2,0.9988636374473572,0.0679168850183487,0.998674213886261,0.009932118467986584
3,0.9990845918655396,0.07010399550199509,0.998674213886261,0.013767937198281288
4,0.9991793036460876,0.06215779110789299,0.998674213886261,0.010912882164120674
5,0.9989898800849915,0.06187804043292999,0.998674213886261,0.007140036206692457
6,0.9991793036460876,0.05594143643975258,0.998674213886261,0.007845890708267689
7,0.9984532594680786,0.05130263417959213,0.998674213886261,0.016152430325746536
8,0.9991793036460876,0.04815985634922981,0.998674213886261,0.018678732216358185
9,0.9991793036460876,0.04074374958872795,0.998674213886261,0.008235457353293896
10,0.9988636374473572,0.05179106444120407,0.998674213886261,0.007478483486920595
11,0.9989583492279053,0.0478530153632164,0.998674213886261,0.009527215734124184
12,0.9985479712486267,0.04528910294175148,0.998674213886261,0.0076852054335176945
13,0.9982954263687134,0.036776747554540634,0.998674213886261,0.015690844506025314
